symbol,close,ADV20,ATR_pct,last_bar_date
ACLS,93.12,1890918.6554999999,0.036895823219092856,2026-01-09
AFGD,20.99,6775.053,0.008164866407842603,2026-01-05
AIT,272.255,3171867.21025,0.01886732240574258,2026-01-09
ALK,49.94,4833037.54825,0.03146679627590395,2026-01-09
ALVO,4.645,147466.86625000002,0.05786708859189603,2026-01-09
ALZN,2.37,1240.2730000000001,0.04286255424020129,2026-01-09
AREC,3.37,293073.04575,0.08445511970991984,2026-01-09
ATOM,2.305,33288.298,0.06864667004837433,2026-01-09
ATRO,66.18,1620761.2932499999,0.03526391107606301,2026-01-09
BAOS,2.65,22462.94125,0.1162880884166856,2025-12-26
BBSI,38.2,186307.9265,0.017896191453279038,2026-01-09
BGS,4.17,252495.98599999998,0.030952699050920417,2026-01-09
BHK,9.635,99443.48000000001,0.005482136594332716,2026-01-09
BIPC,43.25,1371001.9327500002,0.019902472851250207,2026-01-09
BKE,55.52,1313408.0007500001,0.02254170097080013,2026-01-09
BLIN,0.7901,588.4585950000001,0.09509565926034612,2026-01-08
BOTJ,17.475,1931.200625,0.017228592576206864,2025-11-25
BRBR,24.84,4501635.9325,0.05227390882224401,2026-01-09
BRN,1.135,352.22999999999996,0.03342033037230203,2026-01-09
BUD,65.87,4820675.88775,0.016008807696544905,2026-01-09
CASY,593.67,8027674.306999999,0.01915165877238483,2026-01-09
CELG.RT,0.167,28.40733333333333,0.056897561229404876,2026-01-09
CFLT,30.365,17370260.40325,0.011861313915934712,2026-01-09
CHRD,92.13,2719502.4307500003,0.03172216331163479,2026-01-09
CIGI,146.53,881734.7155000002,0.017674038343154837,2026-01-09
CPA,130.865,1457104.3385,0.02095287675482371,2026-01-09
CSR,66.585,587813.6955000001,0.019548571649158547,2026-01-09
CYBR,456.85,9687970.801250003,0.02117412565810488,2026-01-09
DHI,157.29,20295012.05,0.029594835209686306,2026-01-09
DUK,116.82,10952725.247750001,0.01301985993504423,2026-01-09
DVLT,0.9069,1149952.95243,0.2805820419794332,2026-01-09
ESHA,12.75,37274.16071428572,0.10862652294048601,2026-01-09
EVTL,6.595,292135.33825,0.0635736560652883,2026-01-09
EXOZ,9.8,3321.713157894737,0.12049803642019204,2026-01-07
FFIC,15.05,335274.34949999995,0.028772902632659244,2026-01-09
FN,446.6,17825879.70425,0.05438838252635726,2026-01-09
FRHC,133.03,311331.6425,0.022953398372053152,2026-01-09
GEF,72.07,549193.3925,0.017638991653950373,2026-01-09
GERN,1.34,299749.27025,0.044683364893079155,2026-01-09
GJH,9.46,1790.5399999999997,0.008277022433126502,2025-12-18
GNTX,24.525,3331244.99125,0.01768591665754264,2026-01-09
GPI,402.86,2438453.8545000004,0.01949193586694433,2026-01-09
HBAN,18.255,18175626.86925,0.018504763567879178,2026-01-09
HMN,44.43,390870.80350000004,0.0160406001701811,2026-01-09
IBN,30.665,11284372.04475,0.013288232508366292,2026-01-09
IMUX,0.669,12221.053515,0.0634061521649752,2026-01-09
ISRG,586.11,34972564.567,0.018218762547422617,2026-01-09
JXN,117.39,2029689.5832500004,0.018731497860907186,2026-01-09
KINS,17.265,76680.90174999999,0.0243872510698811,2026-01-09
LADR,10.96,415403.352,0.016356996782378976,2026-01-09
LCNB,16.37,18488.13775,0.016123911704461587,2026-01-09
LGPS,1.025,479.44075000000004,0.05433533234607311,2026-01-08
LNAI,0.918,2265.4323549999945,0.07880045483027621,2026-01-09
LOGI,95.065,4462484.45575,0.025319961227896936,2026-01-09
LYFT,19.22,10437765.2,0.03843625356423255,2026-01-09
MAAS,5.52,1588.6165,0.06875684013606553,2026-01-05
MAYS,37.77,4820.666666666667,0.0036215439313135823,2025-12-26
MGNI,16.15,1844746.5102500003,0.038736614145438594,2026-01-09
MNDY,147.94,8669197.362,0.033024567073516066,2026-01-09
NBIS,97.9,22116544.05375,0.0675736401982087,2026-01-09
NEOV,3.61,23126.10225,0.07054296190073041,2026-01-09
NIC,123.72,367236.72024999995,0.018640946662667277,2026-01-09
NMRA,2.22,138357.55375000002,0.09794654442323313,2026-01-09
NTNX,53.515,7839596.01675,0.02776187267611818,2026-01-09
NVST,23.625,2773088.53875,0.02474661798391943,2026-01-09
NXL,0.713,1986.7101149999999,0.07917071337784616,2026-01-09
OCS,23.0,125068.724,0.03075524838483721,2026-01-09
OMC,79.065,13478798.204249999,0.023913447525781704,2026-01-09
OTIS,90.195,8490117.57675,0.013533558380080657,2026-01-09
PAVM,7.3,1521.38543,0.07625874967834467,2026-01-07
PKE,23.33,104445.88175,0.024901823542337626,2026-01-09
PLUG,2.185,5637516.3925,0.08189858013795571,2026-01-09
QNCX,2.705,93951.58725000001,0.09282679680205819,2026-01-09
RDACR,0.2331,84.27772,0.011758962508650099,2025-10-16
RIME,0.8918,8707.47146,0.17098131505455902,2026-01-09
RNA,72.38,6211291.1417499995,0.00405937342550124,2026-01-09
RVYL,5.5,5954.346325,0.07077916392248848,2026-01-09
SAM,207.585,1432337.4085000001,0.016967031801270134,2026-01-09
SOLV,86.33,2615789.3937500003,0.017576498441969752,2026-01-09
STBA,39.945,218627.198,0.015917504008411215,2026-01-09
STNE,14.88,4049738.76575,0.04260244384339244,2026-01-09
SXC,7.96,356936.249,0.027567590975147247,2026-01-09
TLSI,5.81,49376.5225,0.06469648544354711,2026-01-09
TMQ,5.175,502605.96125,0.06146384127402972,2026-01-09
TOON,0.72,2498.375035,0.024575472912874947,2026-01-09
TRTN.PRD,23.38,7207.241,0.00977093571602072,2025-12-30
UBSI,40.65,1614459.8095,0.016381913749801975,2026-01-09
UK,1.0,420.38187,0.07179298825960329,2025-12-29
UMBF,121.585,2329924.3125,0.01843990611877429,2026-01-09
VRME,0.9802,71633.53777999998,0.10412380039691461,2026-01-09
WFF,0.469,673.8440250000001,0.10934346105177992,2026-01-08
WSBC,34.45,645268.50175,0.018663324874615434,2026-01-09
